x,y
3581315.74478712,2043204.45269069
3591077.33183459,2045137.61018092
3603298.05472404,2047759.40016583
3607582.58621102,2048694.5069413
3610305.65539307,2049021.94583531
3618795.30766427,2049423.95835614
3622370.97106715,2049965.95817319
3633829.99462987,2052281.09557439
3643836.74004434,2054162.58325559
3645832.98990601,2054154.82141724
3647945.59696932,2053886.68482252
3650590.87739223,2053792.70960155
3653158.12622418,2054056.89453041
3655855.89460577,2054630.39216249
3658902.68991123,2055565.79631852
3661654.34534442,2057677.22532948
3665394.15590207,2063895.20387808
3673514.45086025,2072724.08473425
3691546.59127369,2080840.92461969
3699305.95088226,2083725.18028468
3713770.81758871,2088470.41619039
3718887.63546579,2091143.23794906
3722563.9796578,2093914.74097842
3725272.97845166,2094534.48923021
3727725.27965967,2094492.80120747
3731100.13786425,2095434.64546727
3744389.1939693,2106371.86623253
3747916.92953828,2108766.34920616
3753338.0014245,2110903.50452635
3756009.11953577,2113624.20874977
3757373.81351735,2116334.6133547
3758768.80805163,2120783.63077575
3756929.56272369,2130796.44183378
3752465.67203618,2138628.22477576
3751212.65411116,2140388.42788995
3750825.79461632,2142908.05263587
3750881.05152882,2146414.471327
3751966.41612579,2150688.23777388
3753406.29872085,2152820.92130495
3756382.61605397,2154032.01913327
3760138.79715014,2150565.15934757
3763982.2299943,2150818.94468545
3766050.11092699,2153504.26455516
3769190.96467822,2159601.28797419
3765650.26197489,2161879.4760407
3762264.78945315,2163558.23255117
3759822.68487115,2162407.26398718
3756745.50133135,2165117.49842947
3756470.88589888,2167905.27446148
3758348.87546816,2173272.34902833
3754072.5055179,2173800.5289879
3741191.53140561,2179125.43086363
3731098.05414506,2178486.82974456
3720240.95660804,2174856.37162911
3716887.37021678,2173272.24741546
3715508.91462415,2170429.82668842
3704652.43701761,2167041.79220442
3700402.64501419,2168966.71248694
3698437.57879264,2171753.11204661
3695532.0244009,2174517.76792058
3683035.66889296,2180988.23815641
3674611.80013588,2180029.66368904
3671410.14860184,2177908.65348888
3666001.40664427,2174055.95004733
3660619.18126262,2174419.10941888
3658714.4906002,2176802.78741712
3656488.99509585,2183654.21547857
3647320.75800855,2190305.68001038
3639913.72560889,2192012.04772876
3634218.40526889,2189530.71648442
3625123.57627689,2186555.0693781
3621853.46852512,2186773.49933593
3616860.30084643,2188232.53217873
3615887.29239403,2193193.04469249
3617894.66763934,2206399.17360219
3616533.77037606,2212352.67825626
3614667.73839285,2216420.72485669
3611426.5924112,2220317.96203076
3603249.1290344,2221738.17368496
3597949.14510107,2220974.6929362
3593880.07307557,2226803.20336185
3591030.55622674,2229550.96195212
3582687.35204652,2231741.81298644
3578227.36931003,2232331.47562861
3573538.41044166,2236057.98651184
3569609.69851177,2238424.54068452
3562115.814866,2241796.10033708
3558247.13377328,2240500.11152727
3556006.91269483,2230804.19080672
3556524.1024918,2224842.36664847
3538729.38331052,2226080.61681951
3534815.3087615,2226680.77558934
3516904.49130337,2233677.88138618
3513508.86318282,2232402.71784491
3510574.92246586,2231605.42968303
3506517.34312912,2230659.15372121
3501171.78353888,2230029.31429065
3496843.94194319,2231629.3516259
3493436.22278364,2236286.34080554
3488532.6213605,2242962.7270887
3485541.66888966,2244814.50678592
3478579.48477999,2250924.77571275
3473540.8649717,2248275.55338319
3471503.58856409,2247359.52953077
3467360.17611557,2247026.0062983
3457115.32552672,2246854.61346877
3445443.63281628,2262204.53852276
3446015.96022044,2266822.5571841
3444118.50627093,2269661.98121793
3441522.27373132,2269565.04484736
3439823.08852108,2268634.60360909
3435578.31294305,2268947.3193032
3429211.196693,2270150.47256687
3424888.43705776,2273353.38498616
3420704.70196632,2276316.88290465
3411931.76191133,2282024.85527674
3408730.3074213,2283975.82670368
3401230.15072333,2287362.30613059
3396036.35352564,2283795.77209287
3390156.01277883,2286471.48918192
3388656.43029781,2289684.90683921
3388981.65661115,2292003.69702883
3391791.17833473,2293639.28963631
3393589.72777428,2295220.81452028
3396373.93434104,2301223.28868138
3398123.76836378,2305916.06326457
3397147.12721505,2309757.78037272
3376572.47146693,2318672.93761706
3373531.70878685,2318672.77523271
3371211.87873816,2317610.13531046
3367358.80146758,2324098.09291707
3366838.62550473,2327682.19022652
3359849.42122894,2325804.84718849
3356089.08918257,2324085.28494298
3340055.27387953,2322562.92915016
3333974.53185039,2323061.06212133
3324542.15263231,2325005.60582566
3320733.5789852,2326220.19416543
3316059.64034604,2329916.72686666
3309850.685894,2336675.41270514
3307513.32606714,2336937.14616247
3301370.78904338,2339712.37520699
3296396.51572246,2342155.90440705
3292994.85443091,2345073.88249744
3291506.82903312,2347637.29249856
3278190.2616593,2348945.86962127
3276017.17222447,2348999.05978259
3270282.50435526,2344228.84089712
3262333.85533663,2343284.96595845
3257969.71918067,2342918.48842942
3253602.74836337,2346289.9186626
3238775.88199956,2353751.1094403
3235726.10123066,2356249.15314625
3234645.89153117,2359958.82058181
3231540.29324759,2363582.59372906
3229319.52478329,2365623.86625968
3226678.33326299,2366306.85209052
3208115.68588002,2368011.36365623
